epoch,learning rate,Loss,SceneFlowLoss,SegLoss,TrackingLoss,mean train loss,best val loss till now
0,0.001,0.195417,0.644476,0.195417,0.601979,0.195417,0.195417
1,0.00097,0.203077,0.645321,0.203077,0.604679,0.203077,
0,0.001,0.191548,0.644622,0.191548,0.601312,0.191548,0.191548
1,0.00097,0.178982,0.646328,0.178982,0.604858,0.178982,0.178982
2,0.000941,0.353091,0.169522,0.185392,0.165876,0.353091,
3,0.000913,0.340783,0.181362,0.198711,0.102783,0.340783,
4,0.000885,0.362085,0.185631,0.218212,0.102114,0.362085,
5,0.000859,0.332897,0.191953,0.194348,0.085147,0.332897,
6,0.000833,0.367471,0.194152,0.20614,0.12851,0.367471,
7,0.000808,0.340052,0.184843,0.210224,0.074812,0.340052,
